City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Arraial Do Cabo,BR,2021-03-19 18:20:33,-22.9661,-42.0278,91.4,58,20,13.8
164,Vila Franca Do Campo,PT,2021-03-19 18:20:34,37.7167,-25.4333,60.8,77,20,12.66
165,Haines Junction,CA,2021-03-19 18:20:34,60.7522,-137.5108,10.4,56,100,13.8
166,Bardiyah,LY,2021-03-19 18:20:34,31.7561,25.0865,64.83,62,79,17.83
167,Nakusp,CA,2021-03-19 18:20:34,50.2499,-117.8023,46.4,87,98,2.3
168,Olafsvik,IS,2021-03-19 18:20:35,64.8945,-23.7142,37.63,92,97,20.58
169,Inuvik,CA,2021-03-19 18:20:35,68.3499,-133.7218,-13.0,70,100,4.61
170,Lebu,CL,2021-03-19 18:20:35,-37.6167,-73.65,61.0,70,54,11.95
171,Tual,ID,2021-03-19 18:20:36,-5.6667,132.75,83.84,67,53,7.72
172,Rondonopolis,BR,2021-03-19 18:20:36,-16.4708,-54.6356,81.27,82,97,6.93
173,Sobolevo,RU,2021-03-19 18:20:36,54.4299,31.8996,27.81,84,99,4.65
174,Canete,CL,2021-03-19 18:20:37,-37.8,-73.4,62.08,72,45,5.79
175,Pyshma,RU,2021-03-19 18:20:37,56.9523,63.2513,24.55,96,100,5.7
176,Mugur-Aksy,RU,2021-03-19 18:20:37,50.35,90.5,0.88,56,0,4.94
177,Peniche,PT,2021-03-19 18:20:37,39.3558,-9.3811,57.99,73,49,11.01
178,Paita,PE,2021-03-19 18:20:38,-5.0892,-81.1144,89.6,55,0,13.8
179,Rio Branco Do Sul,BR,2021-03-19 18:20:38,-25.19,-49.3142,71.6,73,75,8.05
180,Barrow,US,2021-03-19 18:15:49,71.2906,-156.7887,-5.8,71,90,5.75
181,Pula,HR,2021-03-19 18:20:38,44.8683,13.8481,41.0,52,0,3.44
182,Krasnaya Poyma,RU,2021-03-19 18:20:39,55.0014,39.08,30.99,78,100,5.77
183,Alofi,NU,2021-03-19 18:20:24,-19.0595,-169.9187,75.2,100,100,2.3
184,Luanda,AO,2021-03-19 18:20:39,-8.8368,13.2343,82.4,78,75,11.5
185,Praia,CV,2021-03-19 18:20:39,14.9215,-23.5087,75.2,64,0,18.41
186,Talnakh,RU,2021-03-19 18:20:40,69.4865,88.3972,-28.43,93,22,9.71
187,Tuatapere,NZ,2021-03-19 18:20:40,-46.1333,167.6833,52.0,87,92,1.99
188,Caravelas,BR,2021-03-19 18:20:40,-17.7125,-39.2481,83.8,61,45,8.95
189,Maniitsoq,GL,2021-03-19 18:20:40,65.4167,-52.9,25.02,83,100,15.7
190,Kapoeta,SS,2021-03-19 18:20:41,4.7717,33.5903,76.91,73,80,4.97
191,Mamallapuram,IN,2021-03-19 18:20:41,12.6264,80.1722,75.2,88,20,4.72
192,Tirat Karmel,IL,2021-03-19 18:20:41,32.7617,34.9719,60.8,63,0,5.75
193,Hualmay,PE,2021-03-19 18:20:42,-11.0964,-77.6139,77.04,64,93,10.92
194,Zhicheng,CN,2021-03-19 18:20:42,30.2956,111.5047,46.0,91,89,3.49
195,Berlevag,NO,2021-03-19 18:20:42,70.8578,29.0864,24.8,80,40,42.57
196,Geraldton,AU,2021-03-19 18:20:42,-28.7667,114.6,68.0,52,0,1.14
197,Usinsk,RU,2021-03-19 18:20:43,65.9939,57.5281,-8.43,91,73,10.85
198,Mahina,PF,2021-03-19 18:18:09,-17.5065,-149.489,82.4,74,40,1.14
199,Balgazyn,RU,2021-03-19 18:20:43,51.0,95.2,8.46,84,0,2.55
200,Dutlwe,BW,2021-03-19 18:20:43,-23.9833,23.9,76.59,35,25,2.46
201,Victor Harbor,AU,2021-03-19 18:20:44,-35.5667,138.6167,64.99,84,9,2.77
202,Phalia,PK,2021-03-19 18:20:44,32.4297,73.5775,69.98,30,0,4.79
